dm,cm1,cm2,cm3
https://www.lazada.com.ph/products/del-monte-sarap-savers-party-pack-sweet-style-i339192810-s759212539.html?spm=a2o4l.searchlist.list.1.7ab431fap9ahSg&search=1,https://www.lazada.com.ph/products/fiesta-sweet-spaghettipid-i1003916195-s3337850534.html?spm=a2o4l.searchlist.list.9.39544d50Gyncc1&search=1,https://www.lazada.com.ph/products/royal-sweet-celebration-i1003910576-s3337918247.html?spm=a2o4l.searchlist.list.5.3b9648f7ISDLCx&search=1,https://www.lazada.com.ph/products/amigo-segurado-promo-99-sweet-blend-style-850g-i1211316192-s4303334719.html?spm=a2o4l.searchlist.list.1.3c7347baIp1RkH&search=1
https://www.lazada.com.ph/products/del-monte-100-pineapple-juice-with-vitamin-ace-1l-tetra-i338740391-s757716503.html?spm=a2o4l.searchlist.list.45.3ea118f2VJ8AnS&search=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-136l-i1093648202-s3760440407.html?spm=a2o4l.searchlist.list.59.7fb574bek9J0oH&search=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-136l-duo-bundle-i1093742900-s3761232493.html?spm=a2o4l.seller.list.13.421347b3cEvIid&mp=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-51-i1090842810-s3748206598.html?spm=a2o4l.10450891.0.0.1ac51c7eJi5pkA&mp=3
https://www.lazada.com.ph/products/del-monte-heart-smart-pineapple-juice-buy-6-save-p10-i424594210-s1051272090.html?spm=a2o4l.searchlist.list.1.3395635eGXbV9Q&search=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-51-i1090842810-s3748206598.html?spm=a2o4l.seller.list.7.421347b3cEvIid&mp=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-136l-duo-bundle-i1093742900-s3761232493.html?spm=a2o4l.seller.list.13.421347b3cEvIid&mp=1,https://www.lazada.com.ph/products/minute-maid-fresh-pineapple-200ml-x-10-i811826941-s2498650989.html?spm=a2o4l.lazmart_search.list.8.2d56d96aRdy4eF&search=1
https://www.lazada.com.ph/products/del-monte-four-seasons-juice-drink-1l-tetra-i338986688-s758490147.html?spm=a2o4l.searchlist.list.3.122e7354KQDjfe&search=1,https://www.lazada.com.ph/products/dole-four-seasons-juice-drink-136l-i560474978-s1523698936.html?spm=a2o4l.searchlist.list.14.18cf2812x19ZRD&search=1,https://www.lazada.com.ph/products/all-natural-seasons-pineapple-orange-juice-1l-i1091118564-s3748996668.html?spm=a2o4l.searchlist.list.2.579849b8nmTs2o&search=1,https://www.lazada.com.ph/products/all-natural-seasons-pineapple-mango-juice-1l-i1091178294-s3749130732.html?spm=a2o4l.searchlist.list.17.579849b8nmTs2o&search=1
https://www.lazada.com.ph/products/tipco-100-mixed-fruit-juice-cranberry-1l-tetra-i338774871-s757866526.html?spm=a2o4l.searchlist.list.1.56036de5ibkrYo&search=1,https://www.lazada.com.ph/products/the-berry-company-cranberry-juice-1000-ml-i321356051-s666782581.html?spm=a2o4l.searchlist.list.2.23f14ab4sPVjtE&search=1,https://www.lazada.com.ph/products/iwg-ceres-100-fruit-juice-blend-cranberry-and-kiwi-1l-i331628662-s725070723.html?spm=a2o4l.searchlist.list.12.23f14ab4sPVjtE&search=1,https://www.lazada.com.ph/products/ocean-spray-ocean-spray-cranberry-cocktail-3l-exp-2021-ocean-spray-berries-juice-drinks-mandarin-juice-original-juice-natural-juice-i933076058-s3032590932.html?spm=a2o4l.searchlist.list.6.23f14ab4sPVjtE&search=1
https://www.lazada.com.ph/products/tipco-100-broccoli-mixed-fruit-juice-1l-tetra-i339180215-s759134199.html?spm=a2o4l.searchlist.list.1.3ec653c2vDUIuj&search=1,https://www.lazada.com.ph/products/malee-juice-drink-broccoli-juice-100-natural-juice-1l-i393106298-s909380452.html?spm=a2o4l.searchlist.list.15.1e3d3fa6139cWA&search=1,https://www.lazada.com.ph/products/malee-100-juice-drink-broccoli-250ml-i1184970803-s4185954908.html?spm=a2o4l.searchlist.list.17.1e3d3fa6139cWA&search=1,https://www.lazada.com.ph/products/malee-juice-drink-broccoli-juice-100-natural-juice-1l-buy-1-get-1-free-i613838675-s1697460982.html?spm=a2o4l.searchlist.list.20.79f86cd5X73xBt&search=1
https://www.lazada.com.ph/products/del-monte-fiber-enriched-100-pineapple-juice-drink-1l-tetra-i338868740-s758226543.html?spm=a2o4l.searchlist.list.7.c83d27b3VYgZRV&search=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-136l-i1093648202-s3760440407.html?spm=a2o4l.searchlist.list.59.7fb574bek9J0oH&search=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-136l-duo-bundle-i1093742900-s3761232493.html?spm=a2o4l.seller.list.13.421347b3cEvIid&mp=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-51-i1090842810-s3748206598.html?spm=a2o4l.searchlist.list.17.7bc956cdAtCJiR&search=1
https://www.lazada.com.ph/products/tipco-100-mixed-veggies-and-mixed-fruit-juice-1l-tetra-i339410570-s760120838.html?spm=a2o4l.searchlist.list.1.30d84efcqnQKLK&search=1,https://www.lazada.com.ph/products/malee-juice-drink-broccoli-juice-100-natural-juice-1l-i393106298-s909380452.html?spm=a2o4l.searchlist.list.9.5b3e6d1aKYipk4&search=1,https://www.lazada.com.ph/products/malee-juice-drink-carrot-juice-100-natural-juice-1l-i393098391-s909366874.html?spm=a2o4l.searchlist.list.6.5b3e6d1aKYipk4&search=1,https://www.lazada.com.ph/products/v8-original-100-vegetable-juice-189l-i1268208214-s4580792655.html?spm=a2o4l.searchlist.list.13.105c4b54sUdAqw&search=1
https://www.lazada.com.ph/products/del-monte-mango-juice-drink-1l-tetra-i339040863-s758626721.html?spm=a2o4l.searchlist.list.1.1e6910eafmYnxd&search=1,https://www.lazada.com.ph/products/all-natural-seasons-pineapple-mango-juice-1l-i1091178294-s3749130732.html?spm=a2o4l.searchlist.list.1.5253aa912OMPvd&search=1,https://www.lazada.com.ph/products/minute-maid-fresh-mango-200ml-x-10-i603924358-s1658498814.html?spm=a2o4l.searchlist.list.7.26447790njSxQ6&search=1,https://www.lazada.com.ph/products/locally-ripe-mango-1-l-i412728835-s1006224861.html?spm=a2o4l.lazmart_search.list.2.61244055NKfIq1&search=1
https://www.lazada.com.ph/products/del-monte-nightly-cleanse-savers-pack-i413606116-s1008254995.html?spm=a2o4l.searchlist.list.1.68da18benrG1fu&search=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-136l-i1093648202-s3760440407.html?spm=a2o4l.searchlist.list.59.7fb574bek9J0oH&search=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-136l-duo-bundle-i1093742900-s3761232493.html?spm=a2o4l.seller.list.13.421347b3cEvIid&mp=1,https://www.lazada.com.ph/products/minute-maid-fresh-pineapple-200ml-x-10-i811826941-s2498650989.html?spm=a2o4l.lazmart_search.list.8.2d56d96aRdy4eF&search=1
https://www.lazada.com.ph/products/del-monte-sweetened-pineapple-juice-drink-1l-tetra-i339136685-s759042431.html?spm=a2o4l.searchlist.list.1.2693300395Re4C&search=1,https://www.lazada.com.ph/products/dole-100-pineapple-juice-136l-i1093648202-s3760440407.html?spm=a2o4l.10450891.0.0.1a711c7etBqPx7,https://www.lazada.com.ph/products/all-natural-seasons-pineapple-coconut-juice-1l-i1091166216-s3749102425.html?spm=a2o4l.searchlistcategory.list.11.71de5e7fYXv07Z&search=1,https://www.lazada.com.ph/products/all-natural-seasons-pineapple-mango-juice-1l-i1091178294-s3749130732.html?spm=a2o4l.10450891.0.0.5dfd1c7eao0x1Y